Movie name,Year of production,Certificate,Run time,Genre
The 355,(2022),PG-13,122 min,"Action, Thriller"
Hotel Transylvania: Transformania,(2022),PG,87 min,"Animation, Adventure, Comedy"
Scream,(I) (2022),R,114 min,"Horror, Mystery, Thriller"
Jackass Forever,(2022),R,96 min,"Documentary, Action, Comedy"
Death on the Nile,(2022),PG-13,127 min,"Crime, Drama, Mystery"
Uncharted,(2022),PG-13,116 min,"Action, Adventure"
The Batman,(2022),PG-13,176 min,"Action, Crime, Drama"
Turning Red,(2022),PG,100 min,"Animation, Adventure, Comedy"
Deep Water,(2022),R,115 min,"Drama, Mystery, Thriller"
X,(II) (2022),R,105 min,Horror
Alice,(III) (2022),R,100 min,Drama
The Outfit,(2022),R,105 min,"Crime, Drama, Thriller"
Umma,(2022),PG-13,83 min,"Drama, Horror, Mystery"
The Lost City,(2022),PG-13,112 min,"Action, Adventure, Comedy"
Morbius,(2022),PG-13,104 min,"Action, Adventure, Horror"
You Won't Be Alone,(2022),R,108 min,"Drama, Horror"
Sonic the Hedgehog 2,(2022),PG,122 min,"Action, Adventure, Comedy"
Ambulance,(2022),R,136 min,"Action, Crime, Drama"
Everything Everywhere All at Once,(2022),R,139 min,"Action, Adventure, Comedy"
Father Stu,(2022),R,124 min,Drama
Fantastic Beasts: The Secrets of Dumbledore,(2022),PG-13,142 min,"Adventure, Family, Fantasy"
Thirteen Lives,(2022),PG-13,105 min,"Biography, Drama, Thriller"
The Unbearable Weight of Massive Talent,(2022),R,100 min,"Action, Comedy, Crime"
The Bad Guys,(2022),PG,136 min,"Animation, Adventure, Comedy"
The Northman,(2022),R,126 min,"Action, Adventure, Drama"
Doctor Strange in the Multiverse of Madness,(2022),R,100 min,"Action, Adventure, Fantasy"
L'événement,(2021),R,125 min,Drama
Firestarter,(2022),PG,102 min,"Drama, Horror, Sci-Fi"
Chip 'n' Dale: Rescue Rangers,(2022),R,91 min,"Animation, Adventure, Comedy"
Men,(2022),PG,146 min,"Drama, Horror, Sci-Fi"
Downton Abbey: A New Era,(2022),PG-13,102 min,"Drama, Romance"
Top Gun: Maverick,(2022),PG-13,90 min,"Action, Drama"
The Bob's Burgers Movie,(2022),PG-13,92 min,"Animation, Adventure, Comedy"
Watcher,(2022),R,102 min,"Drama, Horror, Thriller"
Jurassic World Dominion,(2022),PG,93 min,"Action, Adventure, Sci-Fi"
Lightyear,(2022),PG,114 min,"Animation, Action, Adventure"
The Black Phone,(2021),PG-13,,Horror
Elvis,(2022),PG-13,,"Biography, Drama, Music"
Shotgun Wedding,(2022),PG-13,,"Action, Comedy, Romance"
Minions: The Rise of Gru,(2022),R,,"Animation, Adventure, Comedy"
Thor: Love and Thunder,(2022),PG-13,,"Action, Adventure, Fantasy"
Bullet Train,(2022),PG-13,,"Action, Thriller"
Bed Rest,(2022),,,Horror
Mrs. Harris Goes to Paris,(2022),,,Drama
Nope,(2022),,,"Horror, Sci-Fi"
Where the Crawdads Sing,(2022),,,"Drama, Mystery"
DC League of Super-Pets,(2022),,,"Animation, Action, Adventure"
Vengeance,(II) (2022),,,"Horror, Mystery, Thriller"
Easter Sunday,(2022),,,Comedy
Secret Headquarters,(2022),,,"Action, Adventure, Sci-Fi"
The Man from Toronto,(2022),,,"Action, Comedy, Thriller"
Beast,(I) (2022),,,Thriller
Samaritan,(2022),,,"Action, Drama, Fantasy"
The Bride,(I) (2022),,,"Horror, Thriller"
Honk for Jesus. Save Your Soul.,(2022),,,Comedy
Salem's Lot,(2022),,,"Horror, Thriller"
Dark Harvest,(2022),,,Horror
"Are You There God? It's Me, Margaret",(2022),,,"Comedy, Drama"
The Woman King,(2022),,,"Drama, History"
Distant,(2022),,,"Drama, Sci-Fi"
Puss in Boots: The Last Wish,(2022),,,"Animation, Adventure, Comedy"
Don't Worry Darling,(I) (2022),,,Thriller
BROS,(2022),,,"Comedy, Crime, Horror"
Pinocchio,(I) (2022),,,"Adventure, Comedy, Drama"
Spider-Man: Across the Spider-Verse - Part One,(2022),,,"Animation, Action, Adventure"
Till,(2022),,,Drama
Halloween Ends,(2022),,,"Horror, Thriller"
Black Adam,(2022),,,"Action, Fantasy, Sci-Fi"
Ticket to Paradise,(2022),,,"Comedy, Romance"
The Devil's Light,(2022),,,"Horror, Thriller"
Hocus Pocus 2,(2022),,,"Comedy, Family, Fantasy"
Canterbury Glass,(2022),,,"Drama, History"
Black Panther: Wakanda Forever,(2022),,,"Action, Adventure, Drama"
Thirteen Lives,(2022),,,"Biography, Drama, Thriller"
"Lyle, Lyle, Crocodile",(2022),,,"Animation, Adventure, Comedy"
She Said,(2022),,,Drama
Creed III,(2022),,,"Drama, Sport"
Strange World,(2022),,,"Animation, Action, Adventure"
Violent Night,(2022),,,"Horror, Thriller"
Avatar 2,(2022),,,"Action, Adventure, Sci-Fi"
Shazam! Fury of the Gods,(2022),,,"Action, Adventure, Comedy"
Untitled Super Mario Project,(2022),,,"Animation, Adventure, Comedy"
I Wanna Dance with Somebody,(2022),,,"Biography, Music"
Babylon,(I) (2022),,,Drama
Kraven the Hunter,(2023),,,"Action, Adventure, Sci-Fi"
M3GAN,(2023),,,"Horror, Thriller"
Last Voyage of the Demeter,(2023),,,Horror
Harold and the Purple Crayon,(2023),,,"Animation, Family, Fantasy"
Knock at the Cabin,(2023),,,"Horror, Mystery, Thriller"
The Tiger's Apprentice,(2023),,,"Animation, Action, Adventure"
What About Love,(2023),,,"Drama, Romance"
The Marvels,(2023),,,"Action, Adventure, Fantasy"
Dungeons & Dragons,(2023),,,"Action, Adventure, Fantasy"
Haunted Mansion,(2023),,,"Animation, Comedy, Drama"
Aquaman and the Lost Kingdom,(2023),,,"Action, Adventure, Fantasy"
Heart of a Lion,(2023),,,"Biography, Drama, Sport"
John Wick: Chapter 4,(2023),,,"Action, Crime, Thriller"
65,(2023),,,"Sci-Fi, Thriller"
The Last Train to New York,(2023),,,"Action, Horror, Thriller"
Guardians of the Galaxy Vol. 3,(2023),,,"Action, Adventure, Comedy"
